fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
02,US,AK,,state,,iso1:us#iso2:us-ak,,731545,0.111,other,119.8,0.05,0.94,0.1,,,,,,0.84,5,2,5,2,1,,2,124942,594,149837,2971130,235,1397,1074,209,,131,110,32,,1226,1095895,424831,375482,2021-10-14,https://covidactnow.org/us/alaska-ak,0.581,0.513,0,818386,3
01,US,AL,,state,,iso1:us#iso2:us-al,,4903185,0.099,other,18.2,0.09,0.67,0.1,,,,,,0.89,2,1,2,2,0,,3,807936,14980,764814,5117561,404,15006,11541,1041,,1573,1399,330,,1016,6884990,2617643,2140724,2021-10-14,https://covidactnow.org/us/alabama-al,0.534,0.437,111,4660146,3
05,US,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.066,other,21.9,0.24,0.84,0.1,,,,,,0.83,2,1,2,1,0,,2,504516,8166,313246,3311752,790,8152,6028,599,,954,795,209,,694,4185410,1703875,1404192,2021-10-14,https://covidactnow.org/us/arkansas-ar,0.565,0.465,19,3112886,3
04,US,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.104,other,31.2,0.03,0.95,0.1,,,,,,0.63,3,2,3,2,1,,0,1123368,20453,1145766,9323208,396,15616,11585,1777,,2167,1375,395,,2319,10186170,4374569,3782723,2021-10-14,https://covidactnow.org/us/arizona-az,0.601,0.52,71,8444747,3
06,US,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.026,other,14.3,0.37,0.91,0.1,,,,,,0.76,2,0,2,1,1,,1,4815429,70459,4757647,77207208,10600,61640,47441,4251,,7039,5348,1073,,4714,60028915,28821336,23705877,2021-10-14,https://covidactnow.org/us/california-ca,0.729,0.6,116,52071035,3
08,US,CO,,state,,iso1:us#iso2:us-co,,5758736,0.08,other,40.2,0.11,1.08,0.1,,,,,,0.8,3,1,3,1,1,,1,702277,8000,691293,9685836,1300,11206,7901,1093,,1372,1095,344,,2709,8461305,3823484,3474124,2021-10-14,https://covidactnow.org/us/colorado-co,0.664,0.603,33,7380700,3
09,US,CT,,state,,iso1:us#iso2:us-ct,,3565287,0.024,other,11.1,0.43,0.92,0.1,,,,,,0.6,2,0,2,1,1,,0,394897,8705,517848,10351115,860,7895,6342,281,,1025,615,66,,240,5798865,2759453,2482328,2021-10-14,https://covidactnow.org/us/connecticut-ct,0.774,0.696,38,5182324,2
11,US,DC,,state,,iso1:us#iso2:us-dc,,705749,0.018,other,17.0,0.45,0.86,0.13,,,,,,0.82,2,0,2,1,0,,2,62702,1182,89410,2706505,268,3447,2721,114,,321,262,19,,436,1246235,509276,430989,2021-10-14,https://covidactnow.org/us/district_of_columbia-dc,0.722,0.611,0,1024686,3
10,US,DE,,state,,iso1:us#iso2:us-de,,973764,0.076,other,40.3,0.11,0.93,0.1,,,,,,0.82,3,1,3,1,1,,2,138444,2005,155723,2454633,211,2886,2199,221,,199,164,29,,321,1592225,657690,570763,2021-10-14,https://covidactnow.org/us/delaware-de,0.675,0.586,0,1243897,3
12,US,FL,,state,,iso1:us#iso2:us-fl,,21477737,0.05,other,13.4,0.18,0.72,0.1,,,,,,0.78,2,1,2,1,0,,1,3610402,57303,4256544,36344047,2600,54488,43262,3461,,6546,5082,914,,2505,33720955,14570859,12560764,2021-10-14,https://covidactnow.org/us/florida-fl,0.678,0.585,3,27534371,2
13,US,GA,,state,,iso1:us#iso2:us-ga,,10617423,0.072,other,20.4,0.14,0.77,0.1,,,,,,0.87,2,1,2,1,0,,3,1575770,26483,1211922,10235842,1570,20906,17176,2618,,2603,2256,713,,1988,14959225,5920236,4958654,2021-10-14,https://covidactnow.org/us/georgia-ga,0.558,0.467,85,11001935,3
15,US,HI,,state,,iso1:us#iso2:us-hi,,1415872,0.036,other,11.4,0.37,0.71,0.1,,,,,,0.79,2,1,2,1,0,,1,79255,848,87933,2317408,300,2505,1865,157,,209,165,37,,113,2402770,1097081,831765,2021-10-14,https://covidactnow.org/us/hawaii-hi,0.775,0.587,6,1919677,2
19,US,IA,,state,,iso1:us#iso2:us-ia,,3155070,0.123,other,36.9,0.07,0.96,0.1,,,,,,0.82,3,2,3,2,1,,2,469875,6748,462926,3905431,403,7353,5332,629,,625,511,147,,2416,4419615,1852910,1725266,2021-10-14,https://covidactnow.org/us/iowa-ia,0.587,0.547,94,3557147,3
